FBgn0261983	Bger_01352
FBgn0266581	Bger_05444
FBgn0083951	Bger_15079
FBgn0034650	Bger_15634
FBgn0038659	Bger_25349
FBgn0039565	Bger_01751
FBgn0014949	Bger_04705
FBgn0051760	Bger_25323
FBgn0052100	Bger_00835
FBgn0260817	Bger_22020
FBgn0052230	Bger_02280
FBgn0033475	Bger_14508
FBgn0016920	Bger_24787
FBgn0036745	Bger_02030
FBgn0039816	Bger_09609
FBgn0010292	Bger_04603
FBgn0034487	Bger_17499
FBgn0037900	Bger_03178
FBgn0264740	Bger_28167
FBgn0046296	Bger_12441
FBgn0264078	Bger_01319
FBgn0264389	Bger_02504
FBgn0039742	Bger_10914
FBgn0030306	Bger_20404
FBgn0010339	Bger_25568
FBgn0013726	Bger_11860
FBgn0029868	Bger_25560
FBgn0028518	Bger_11035
FBgn0014031	Bger_09720
FBgn0033899	Bger_03827
FBgn0039828	Bger_09378
FBgn0000546	Bger_08790
FBgn0038989	Bger_08552
FBgn0003996	Bger_08533
FBgn0261618	Bger_01845
FBgn0003328	Bger_00626
FBgn0032346	Bger_15971
FBgn0030077	Bger_14818
FBgn0030161	Bger_18130
FBgn0030668	Bger_18595
FBgn0038641	Bger_19044
FBgn0005658	Bger_27146
FBgn0034709	Bger_16983
FBgn0038168	Bger_19183
FBgn0004577	Bger_22975
FBgn0035762	Bger_17240
FBgn0053203	Bger_01709
FBgn0025394	Bger_03396
FBgn0264894	Bger_08640
FBgn0035194	Bger_18861
FBgn0035558	Bger_14280
FBgn0039698	Bger_03482
FBgn0031022	Bger_26479
FBgn0028738	Bger_24369
FBgn0000337	Bger_23324
FBgn0036817	Bger_20414
FBgn0027453	Bger_03895
FBgn0030964	Bger_07155
FBgn0032358	Bger_14261
FBgn0039773	Bger_20313
FBgn0267824	Bger_01850
FBgn0022288	Bger_21259
FBgn0025630	Bger_25615
FBgn0261550	Bger_01557
FBgn0020224	Bger_02640
FBgn0064116	Bger_19462
FBgn0086657	Bger_23021
FBgn0051814	Bger_02945
FBgn0030739	Bger_05888
FBgn0259734	Bger_06427
FBgn0259175	Bger_07992
FBgn0010433	Bger_03757
FBgn0263400	Bger_13436
FBgn0030959	Bger_21227
FBgn0036799	Bger_12207
FBgn0035260	Bger_02395
FBgn0035692	Bger_14882
FBgn0052702	Bger_00159
FBgn0036897	Bger_03680
FBgn0037656	Bger_12503
FBgn0260755	Bger_02229
FBgn0262624	Bger_15773
FBgn0025825	Bger_00855
FBgn0031397	Bger_01666
FBgn0067783	Bger_06092
FBgn0085290	Bger_01172
FBgn0016754	Bger_27082
FBgn0028341	Bger_07652
FBgn0261108	Bger_11856
FBgn0029708	Bger_02988
FBgn0036843	Bger_04556
FBgn0261020	Bger_12009
FBgn0038902	Bger_18818
FBgn0035477	Bger_09479
FBgn0028421	Bger_05677
FBgn0261244	Bger_17096
FBgn0003884	Bger_24371
FBgn0020018	Bger_24814
FBgn0086898	Bger_27204
FBgn0016698	Bger_00548
FBgn0026380	Bger_05087
FBgn0264560	Bger_01005
FBgn0003965	Bger_07157
FBgn0022069	Bger_16701
FBgn0028858	Bger_13348
FBgn0052029	Bger_24774
FBgn0025808	Bger_11666
FBgn0051040	Bger_02323
FBgn0038327	Bger_20654
FBgn0001218	Bger_27014
FBgn0047038	Bger_25134
FBgn0052075	Bger_10361
FBgn0028903	Bger_19694
FBgn0030961	Bger_21226
FBgn0027291	Bger_04454
FBgn0035336	Bger_23722
FBgn0030840	Bger_15439
FBgn0033639	Bger_19692
FBgn0029977	Bger_19238
FBgn0038832	Bger_07461
FBgn0035482	Bger_07553
FBgn0031492	Bger_12138
FBgn0003028	Bger_14112
FBgn0005322	Bger_19612
FBgn0051368	Bger_00700
FBgn0052683	Bger_08761
FBgn0034595	Bger_22081
FBgn0034162	Bger_05262
FBgn0266667	Bger_22507
FBgn0037328	Bger_03699
FBgn0015903	Bger_19798
FBgn0004552	Bger_17869
FBgn0030801	Bger_06376
FBgn0031327	Bger_19622
FBgn0027356	Bger_17167
FBgn0031811	Bger_18484
FBgn0036340	Bger_11923
FBgn0038582	Bger_09311
FBgn0053463	Bger_12739
FBgn0005355	Bger_16884
FBgn0035059	Bger_14454
FBgn0031268	Bger_14705
FBgn0015925	Bger_17997
FBgn0042138	Bger_09200
FBgn0030884	Bger_22867
FBgn0004381	Bger_08157
FBgn0031918	Bger_11909
FBgn0034816	Bger_13427
FBgn0261530	Bger_22469
FBgn0011305	Bger_07952
FBgn0063368	Bger_17460
FBgn0038360	Bger_01820
FBgn0261797	Bger_16026
FBgn0027111	Bger_15006
FBgn0086370	Bger_04078
FBgn0053868	Bger_02743
FBgn0003255	Bger_02861
FBgn0028406	Bger_02068
FBgn0036141	Bger_18644
FBgn0031702	Bger_03878
FBgn0052685	Bger_13638
FBgn0029688	Bger_09663
FBgn0030913	Bger_04931
FBgn0053548	Bger_09247
FBgn0022768	Bger_09880
FBgn0037878	Bger_24442
FBgn0011648	Protein mothers against dpp
FBgn0032997	Bger_05887
FBgn0083977	Bger_20688
FBgn0051053	Bger_04470
FBgn0038755	Bger_03695
FBgn0264302	Bger_00217
FBgn0005677	Bger_04130
FBgn0005612	Bger_02065
FBgn0010772	Bger_22720
FBgn0030944	Bger_05745
FBgn0029756	Bger_06284
FBgn0037684	Bger_01872
FBgn0031893	Bger_21774
FBgn0051715	Bger_15724
FBgn0035160	Bger_24477
FBgn0035952	Bger_17246
FBgn0038446	Bger_01719
FBgn0039234	Bger_07196
FBgn0032620	Bger_09824
FBgn0039728	Bger_09408
FBgn0031374	Bger_21897
FBgn0033692	Bger_06263
FBgn0016756	Bger_14878
FBgn0043456	Bger_05614
FBgn0038516	Bger_05557
FBgn0032059	Bger_15847
FBgn0034454	Bger_24758
FBgn0028387	Bger_26724
FBgn0052736	Bger_15446
FBgn0034795	Bger_19654
FBgn0031161	Bger_05786
FBgn0037057	Bger_13746
FBgn0265296	Bger_12198
FBgn0030873	Bger_07554
FBgn0035515	Bger_05373
FBgn0034606	Bger_26138
FBgn0017566	Bger_23721
FBgn0034735	Bger_19600
FBgn0050446	Bger_08270
FBgn0034803	Bger_21503
FBgn0036824	Bger_09310
FBgn0261385	Bger_01580
FBgn0002887	Bger_05251
FBgn0267348	Bger_17149
FBgn0003891	Bger_03669
FBgn0030321	Bger_07048
FBgn0034708	Bger_19567
FBgn0023549	Bger_09250
FBgn0004598	Bger_06976
FBgn0040237	Bger_02416
FBgn0038929	Bger_18916
FBgn0031261	Bger_03410
FBgn0039420	Bger_00319
FBgn0011230	Bger_05721
FBgn0016047	Bger_00876
FBgn0040348	Bger_01265
FBgn0053080	Bger_15921
FBgn0033807	Bger_05259
FBgn0030704	Bger_22609
FBgn0039600	Bger_00685
FBgn0034390	Bger_26597
FBgn0035853	Bger_13819
FBgn0028552	Bger_08916
FBgn0264089	Bger_10773
FBgn0000504	Bger_17715
FBgn0037976	Bger_13575
FBgn0083962	Bger_02548
FBgn0010329	Bger_03941
FBgn0030631	Bger_04990
FBgn0000382	Bger_09096
FBgn0037051	Bger_00968
FBgn0036915	Bger_07321
FBgn0036805	Bger_20103
FBgn0032429	Bger_13360
FBgn0086679	Bger_13679
FBgn0030608	Bger_14598
FBgn0260644	Bger_01367
FBgn0015400	Bger_25740
FBgn0037506	Bger_20024
FBgn0033317	Bger_03666
FBgn0263986	Bger_20098
FBgn0023169	Bger_16490
FBgn0033551	Bger_13366
FBgn0259821	Bger_19875
FBgn0036053	Bger_04240
FBgn0013675	Bger_25070
FBgn0032643	Bger_06707
FBgn0259712	Bger_23621
FBgn0039290	Bger_09684
FBgn0029995	Bger_26342
FBgn0264307	Bger_02690
FBgn0031505	Bger_03406
FBgn0040964	Bger_03138
FBgn0039078	Bger_02160
FBgn0033812	Bger_07904
FBgn0052533	Bger_03942
FBgn0041210	Bger_13509
FBgn0264305	Bger_08478
FBgn0042650	Bger_23556
FBgn0262987	Bger_04606
FBgn0266377	Bger_06516
FBgn0030336	Bger_21699
FBgn0028684	Bger_21681
FBgn0004514	Bger_04376
FBgn0052758	Bger_07654
FBgn0000316	Bger_13643
FBgn0030786	Bger_14106
FBgn0263132	Bger_16010
FBgn0283525	Bger_09586
FBgn0040344	Bger_09883
FBgn0037539	Bger_27117
FBgn0023213	Bger_06437
FBgn0039265	Bger_00646
FBgn0032109	Bger_22997
FBgn0014396	Bger_12736
FBgn0037482	Bger_10884
FBgn0032506	Bger_18765
FBgn0037370	Bger_01125
FBgn0036207	Bger_13622
FBgn0008636	Bger_14929
FBgn0026428	Bger_03598
FBgn0033486	Bger_02235
FBgn0039937	Bger_06963
FBgn0261801	Bger_14877
FBgn0031975	Bger_22559
FBgn0029970	Bger_07113
FBgn0033645	Bger_17547
FBgn0033603	Bger_20169
FBgn0037979	Bger_04605
FBgn0267001	Bger_03181
FBgn0034141	Bger_06599
FBgn0003292	Bger_20055
FBgn0031036	Bger_22853
FBgn0058002	Bger_13047
FBgn0032916	Bger_08431
FBgn0035785	Bger_20177
FBgn0050472	Bger_08601
FBgn0261602	Bger_19625
FBgn0053531	Bger_23814
FBgn0041707	Bger_04199
FBgn0040512	Bger_22877
FBgn0261933	Bger_03639
FBgn0283469	Bger_06526
FBgn0024811	Bger_09259
FBgn0000057	Bger_17599
FBgn0035421	Bger_20153
FBgn0039156	Bger_18457
FBgn0030878	Bger_23085
FBgn0036973	Bger_26747
FBgn0038098	Bger_07310
FBgn0005666	Bger_03867
FBgn0031818	Bger_16222
FBgn0030269	Bger_18596
FBgn0031764	Bger_13886
FBgn0000996	Bger_11001
FBgn0041181	Bger_00529
FBgn0016119	Bger_08416
FBgn0036816	Bger_21675
FBgn0027572	Bger_25426
FBgn0037899	Bger_06982
FBgn0265487	Bger_23989
FBgn0035772	Bger_03632
FBgn0031478	Bger_10614
FBgn0011020	Bger_10191
FBgn0010434	Bger_13703
FBgn0032701	Bger_14950
FBgn0027088	Bger_01468
FBgn0037021	Bger_07297
FBgn0035317	Bger_21861
FBgn0011455	Bger_15843
FBgn0053554	Bger_04846
FBgn0038492	Bger_21088
FBgn0042094	Bger_01280
FBgn0036489	Bger_23840
FBgn0039408	Bger_01983
FBgn0266450	Kruppel homologue 1
FBgn0034943	Bger_03857
FBgn0028397	Bger_27806
FBgn0000330	Bger_05751
FBgn0034975	Bger_18097
FBgn0050268	Bger_20280
FBgn0033550	Bger_19488
FBgn0004959	Bger_21433
FBgn0032001	Bger_07575
FBgn0043458	Bger_05546
FBgn0086906	Bger_12784
FBgn0010516	Bger_15209
FBgn0040376	Bger_16771
FBgn0029693	Bger_07193
FBgn0032052	Bger_15795
FBgn0002873	Bger_22496
FBgn0032644	Bger_19397
FBgn0044020	Bger_07178
FBgn0002945	Bger_09301
FBgn0051998	Bger_02103
FBgn0032698	Bger_14923
FBgn0040056	Bger_18390
FBgn0040022	Bger_03017
FBgn0259823	Bger_15085
FBgn0050274	Bger_12077
FBgn0003961	Bger_05769
FBgn0036696	Bger_01346
FBgn0038799	Bger_01169
FBgn0033916	Bger_15176
FBgn0050423	Bger_06550
FBgn0062517	Bger_06916
FBgn0034110	Bger_08592
FBgn0262531	Bger_19313
FBgn0039160	Bger_24093
FBgn0259108	Bger_15920
FBgn0029834	Bger_05986
FBgn0038133	Bger_11181
FBgn0034246	Dicer-2
FBgn0264087	Bger_15227
FBgn0037467	Bger_03538
FBgn0035976	Bger_21011
FBgn0037454	Bger_06379
FBgn0052255	Bger_15572
FBgn0035179	Bger_13890
FBgn0029937	Bger_15528
FBgn0025832	Bger_09482
FBgn0086704	Bger_20578
FBgn0039140	Bger_21288
FBgn0033607	Bger_01659
FBgn0038447	Bger_21081
FBgn0029997	Bger_09234
FBgn0027586	Bger_00604
FBgn0266566	Bger_17268
FBgn0035755	Bger_05908
FBgn0035206	Bger_23036
FBgn0010198	Bger_15323
FBgn0027524	Bger_24158
FBgn0031011	Bger_14535
FBgn0038584	Bger_04621
FBgn0002522	Bger_17181
FBgn0011828	Bger_11852
FBgn0051100	Bger_05971
FBgn0266268	Bger_19862
FBgn0036117	Bger_00267
FBgn0036365	Bger_10246
FBgn0028507	Bger_02055
FBgn0040697	Bger_27528
FBgn0015316	Bger_04699
FBgn0010612	Bger_06657
FBgn0050499	Bger_06720
FBgn0250823	Bger_14623
FBgn0031224	Bger_27904
FBgn0021875	Bger_06113
FBgn0053062	Bger_24333
FBgn0051634	Bger_15346
FBgn0053340	Bger_14756
FBgn0039313	Bger_25884
FBgn0003429	Bger_19572
FBgn0039844	Bger_20325
FBgn0031020	Bger_11299
FBgn0034697	Bger_07993
FBgn0051973	Bger_22232
FBgn0034475	Bger_23911
FBgn0034258	Bger_05363
FBgn0023540	Bger_09094
FBgn0053558	Bger_23020
FBgn0038315	Bger_02157
FBgn0002891	Bger_19325
FBgn0036007	Bger_12157
FBgn0052302	Bger_25054
FBgn0026577	Bger_01698
FBgn0053260	Bger_19369
FBgn0004512	Bger_16611
FBgn0030883	Bger_01972
FBgn0024273	Bger_07988
FBgn0026326	Bger_19835
FBgn0024245	Bger_27225
FBgn0035799	Bger_11593
FBgn0035831	Bger_03011
FBgn0031877	Bger_15175
FBgn0005648	Bger_10384
FBgn0032876	Bger_21228
FBgn0037144	Bger_25396
FBgn0033482	Bger_21126
FBgn0017482	Bger_04106
FBgn0263200	Bger_03850
FBgn0034240	Bger_02380
FBgn0050109	Bger_17012
FBgn0031494	Bger_13015
FBgn0266438	Bger_20895
FBgn0003507	Bger_21026
FBgn0034528	Bger_01500
FBgn0036520	Bger_04208
FBgn0037546	Bger_08556
FBgn0259163	Bger_26939
FBgn0033351	Bger_03537
FBgn0028325	Bger_11158
FBgn0033260	Bger_26950
FBgn0015621	Bger_10996
FBgn0041630	Bger_03685
FBgn0004913	Bger_02672
FBgn0261258	Bger_18542
FBgn0262534	Bger_25934
FBgn0004369	Bger_00794
FBgn0259139	Bger_22913
FBgn0027330	Bger_16414
FBgn0034380	Bger_10673
FBgn0035756	Bger_05377
FBgn0266284	Bger_02421
FBgn0031016	Bger_26349
FBgn0024366	Bger_15457
FBgn0264691	Bger_13789
FBgn0031829	Bger_08611
FBgn0003044	Bger_03935
FBgn0037465	Bger_19272
FBgn0014906	Bger_03146
FBgn0024944	Bger_24791
FBgn0010278	Bger_20923
FBgn0030703	Bger_12719
FBgn0025613	Bger_01525
FBgn0033072	Bger_04918
FBgn0031005	Bger_12434
FBgn0032915	Bger_00027
FBgn0086904	Bger_00723
FBgn0037371	Bger_11700
FBgn0039304	Bger_21790
FBgn0000183	Bger_08103
FBgn0030065	Bger_14913
FBgn0037489	Bger_08248
FBgn0003479	Bger_11663
FBgn0035636	Bger_14388
FBgn0036579	Bger_03674
FBgn0034793	Bger_11496
FBgn0039016	Dicer-1
FBgn0038321	Bger_08732
FBgn0037741	Bger_21168
FBgn0040347	Bger_16084
FBgn0000053	Bger_01123
FBgn0040208	Bger_16386
FBgn0031947	Bger_21733
FBgn0026076	Bger_01089
FBgn0027580	Bger_00375
FBgn0032119	Bger_02178
FBgn0034660	Bger_20193
FBgn0028475	Bger_09696
FBgn0005775	Bger_16015
FBgn0004893	Bger_10211
FBgn0036273	Bger_17662
FBgn0031399	Bger_16501
FBgn0028699	Bger_11696
FBgn0035150	Bger_05266
FBgn0037962	Bger_20947
FBgn0036336	Bger_00377
FBgn0261560	Bger_22986
FBgn0034047	Bger_13818
FBgn0260987	Bger_02184
FBgn0032397	Bger_06655
FBgn0033810	Bger_07315
FBgn0040077	Bger_15028
FBgn0037781	Bger_07235
FBgn0029861	Bger_06410
FBgn0050077	Bger_14829
FBgn0035851	Bger_23117
FBgn0039639	Bger_02589
FBgn0051323	Bger_02010
FBgn0036330	Bger_13194
FBgn0262599	Bger_04306
FBgn0012034	Bger_16097
FBgn0039920	Bger_21788
FBgn0283658	Bger_01646
FBgn0029881	Bger_17850
FBgn0011566	Bger_25743
FBgn0004855	Bger_06024
FBgn0052350	Bger_03049
FBgn0031392	Bger_02543
FBgn0035024	Bger_10305
FBgn0000179	optomotor blind
FBgn0037708	Bger_18429
FBgn0038804	Bger_13249
FBgn0035987	Bger_03638
FBgn0037125	Bger_14991
FBgn0022987	Bger_26984
FBgn0037818	Bger_12607
FBgn0033250	Bger_08057
FBgn0039130	Bger_17192
FBgn0086443	Bger_10343
FBgn0035189	Bger_13379
FBgn0026086	Bger_21553
FBgn0010482	Bger_23322
FBgn0085447	Bger_11022
FBgn0052176	Bger_10760
FBgn0031836	Bger_15035
FBgn0004839	Bger_00036
FBgn0029818	Bger_06839
FBgn0000464	Bger_04230
FBgn0085360	Bger_11782
FBgn0039159	Bger_12638
FBgn0029801	Bger_11664
FBgn0039528	Bger_18345
FBgn0037185	Bger_05902
FBgn0085432	Bger_21716
FBgn0262871	Bger_21735
FBgn0031816	Bger_08717
FBgn0011742	Bger_18871
FBgn0025373	Bger_01636
FBgn0017578	Bger_14854
FBgn0040351	Bger_07930
FBgn0027544	Bger_02773
FBgn0259717	Bger_06658
FBgn0038058	Bger_23022
FBgn0037653	Bger_14964
FBgn0004363	Bger_04308
FBgn0031952	Bger_18654
FBgn0040309	Bger_09154
FBgn0037301	Bger_21192
FBgn0038917	Bger_11779
FBgn0024187	Bger_16889
FBgn0022936	Bger_24493
FBgn0061361	Bger_04041
FBgn0260749	Bger_07452
FBgn0003559	Bger_06034
FBgn0032363	Bger_01656
FBgn0010323	Bger_03884
FBgn0027548	Bger_11673
FBgn0050340	Bger_13715
FBgn0014135	Bger_27100
FBgn0031832	Bger_16124
FBgn0030510	Bger_05686
FBgn0038542	Bger_11544
FBgn0038165	Bger_06193
FBgn0031868	Bger_19627
FBgn0034059	Bger_14383
FBgn0037998	Bger_06981
FBgn0038042	Bger_24704
FBgn0250814	Bger_06157
FBgn0026374	Bger_25612
FBgn0029094	Bger_17676
FBgn0003218	Bger_19291
FBgn0004856	Bger_13514
FBgn0031452	Bger_05304
FBgn0029835	Bger_18709
FBgn0038224	Bger_22576
FBgn0036934	Bger_20322
FBgn0004654	Bger_02417
FBgn0283652	Bger_08868
FBgn0033316	Bger_04659
FBgn0033813	Bger_24649
FBgn0039846	Bger_19628
FBgn0028427	Bger_16570
FBgn0283521	Bger_22238
FBgn0027609	Bger_06584
FBgn0259707	Bger_21231
FBgn0051076	Bger_23299
FBgn0024244	Bger_10204
FBgn0038828	Bger_14641
FBgn0032036	Bger_21539
FBgn0027841	Bger_15401
FBgn0086901	Bger_04727
FBgn0030683	Bger_12150
FBgn0039269	Bger_16465
FBgn0035999	Bger_13587
FBgn0263916	Bger_22627
FBgn0265042	Bger_01204
FBgn0020389	Bger_11649
FBgn0260648	Bger_04673
FBgn0034661	Bger_00497
FBgn0032723	Bger_00443
FBgn0031062	Bger_18989
FBgn0030506	Bger_02408
FBgn0004858	Bger_28058
FBgn0021814	Bger_13627
FBgn0023458	Bger_06979
FBgn0038432	Bger_09955
FBgn0032031	Bger_23923
FBgn0266064	Bger_27260
FBgn0031566	Bger_02644
FBgn0030323	Bger_01378
FBgn0039972	Bger_01492
FBgn0034166	Bger_19106
FBgn0004868	Bger_17597
FBgn0029152	Bger_02111
FBgn0035986	Bger_22948
FBgn0027568	Bger_11740
FBgn0032924	Bger_09253
FBgn0038872	Bger_11787
FBgn0033199	Bger_07768
FBgn0034988	Bger_11213
FBgn0264694	Bger_07821
FBgn0031762	Bger_16249
FBgn0003742	Transformer
FBgn0052484	Bger_00343
FBgn0067311	Bger_10273
FBgn0250910	Bger_13954
FBgn0019830	Bger_14680
FBgn0024989	Bger_01154
FBgn0000370	Bger_20843
FBgn0031657	Bger_20651
FBgn0261703	Bger_10267
FBgn0031897	Bger_22563
FBgn0001247	Bger_04356
FBgn0031356	Bger_10635
FBgn0026369	Bger_01424
FBgn0039924	Bger_18427
FBgn0038400	Bger_15575
FBgn0030613	Bger_21065
FBgn0050382	Bger_03849
FBgn0036534	Bger_07647
FBgn0040650	Bger_24441
FBgn0000277	Bger_09914
FBgn0031865	Bger_19149
FBgn0024957	Bger_04694
FBgn0034869	Bger_01874
FBgn0052069	Bger_10033
FBgn0038610	Bger_19653
FBgn0010423	Bger_18031
FBgn0037513	Bger_02313
FBgn0042180	Bger_23704
FBgn0031497	Bger_11086
FBgn0036676	Bger_24405
FBgn0028471	Bger_00151
FBgn0011726	Bger_15642
FBgn0033377	Bger_02369
FBgn0051146	Bger_07890
FBgn0036043	Bger_15897
FBgn0013325	Bger_04983
FBgn0001145	Bger_09885
FBgn0263219	Bger_11247
FBgn0030239	Bger_19583
FBgn0051025	Bger_10377
FBgn0004240	Bger_26498
FBgn0038268	Bger_08972
FBgn0039045	Bger_12389
FBgn0034617	Bger_02678
FBgn0035087	Bger_14921
FBgn0019644	Bger_00922
FBgn0086448	Bger_01471
FBgn0032467	Bger_07574
FBgn0031824	Bger_21097
FBgn0033994	Bger_04676
FBgn0051465	Bger_10537
FBgn0263351	Bger_11481
FBgn0035608	Bger_08448
FBgn0033344	Bger_23905
FBgn0026309	Bger_02913
FBgn0037720	Bger_09425
FBgn0030109	Bger_04689
FBgn0028888	Bger_18602
FBgn0027496	Bger_07907
FBgn0038472	Bger_21234
FBgn0030654	Bger_08442
FBgn0034543	Bger_10558
FBgn0022772	Bger_00967
FBgn0036302	Bger_25015
FBgn0016013	Bger_10610
FBgn0016081	Bger_16726
FBgn0027358	Bger_08938
FBgn0033297	Bger_12775
FBgn0036893	Bger_11949
FBgn0052251	Bger_17196
FBgn0019940	Bger_09563
FBgn0032479	Bger_05613
FBgn0261046	Bger_22440
FBgn0264357	Bger_18283
FBgn0031802	Bger_24179
FBgn0031319	Bger_22991
FBgn0052174	Bger_18382
FBgn0015240	Bger_03524
FBgn0036359	Bger_06920
FBgn0035524	Bger_16219
FBgn0035111	Bger_04242
FBgn0010340	Bger_08816
FBgn0037561	Bger_07843
FBgn0038359	Bger_08694
FBgn0031738	Bger_25714
FBgn0029118	Bger_15651
FBgn0032017	Bger_05034
FBgn0002567	Bger_20046
FBgn0001248	Bger_08025
FBgn0024509	Bger_08418
FBgn0034013	Bger_10317
FBgn0026397	Bger_13839
FBgn0025802	Bger_09783
FBgn0261049	Bger_19220
FBgn0039582	Bger_14932
FBgn0259244	Bger_22982
FBgn0053512	Bger_23780
FBgn0040294	Bger_05611
FBgn0001075	Bger_26348
FBgn0032707	Bger_12976
FBgn0267849	Bger_00203
FBgn0032477	Bger_03409
FBgn0037736	Bger_03815
FBgn0083950	Bger_10847
FBgn0035948	Bger_24224
FBgn0002931	Bger_04336
FBgn0030474	Bger_10189
FBgn0024182	Bger_06245
FBgn0040397	Bger_13770
FBgn0021765	Bger_14300
FBgn0043791	Bger_16536
FBgn0029763	Bger_24125
FBgn0266195	Bger_12359
FBgn0031799	Bger_12454
FBgn0030289	Bger_22553
FBgn0035430	Bger_11193
FBgn0027090	Bger_22272
FBgn0036305	Bger_23751
FBgn0030803	Bger_25154
FBgn0052099	Bger_05101
FBgn0012036	Bger_18207
FBgn0020909	Bger_00635
FBgn0011818	Bger_27961
FBgn0037202	Bger_06399
FBgn0034959	Bger_11606
FBgn0050048	Bger_08948
FBgn0039188	Bger_13135
FBgn0037884	Bger_08937
FBgn0030737	Bger_13053
FBgn0032329	Bger_21914
FBgn0036732	Bger_14885
FBgn0283477	Bger_22398
FBgn0027785	Bger_09067
FBgn0034940	Bger_24115
FBgn0265991	Bger_24524
FBgn0039357	Bger_07523
FBgn0250746	Bger_01945
FBgn0052815	Bger_00374
FBgn0001104	Bger_11090
FBgn0033570	Bger_12765
FBgn0263864	Bger_10119
FBgn0000100	Bger_13223
FBgn0005624	Bger_04913
FBgn0085428	Bger_23521
FBgn0034558	Bger_08002
FBgn0036301	Bger_06872
FBgn0004370	Bger_05194
FBgn0052103	Bger_11648
FBgn0039009	Bger_07942
FBgn0030318	Bger_03213
FBgn0262166	Bger_04204
FBgn0029837	Bger_18246
FBgn0010241	Bger_11486
FBgn0038795	Bger_18217
FBgn0027553	Bger_08709
FBgn0030576	Bger_13409
FBgn0034921	Bger_22074
FBgn0030572	Bger_07991
FBgn0039257	Bger_21202
FBgn0033688	Bger_17015
FBgn0035983	Bger_12596
FBgn0032860	Bger_13217
FBgn0262560	Bger_05510
FBgn0035280	Bger_10441
FBgn0028371	Bger_17746
